,0
0,Gs(U)_NO
1,Gss
2,HBd_NO
3,IP_NO
4,ISA_NO
5,Mw_NO
6,Pa_NO
7,T
8,Z1_NO
9,Z2_NO
10,neigh_H
11,neigh_M
12,neigh_R
13,neigh_T
14,neigh_V
15,wCLQ(Del(G)NA6)_NO
16,wCLQ(Del(G)NA9)_NO
17,wCLQ(Del(K)NA10)_NO
18,wCLQ(EP10)_NO
19,wCLQ(EP5)_NO
20,wCLQ(Fuk10)_NO
21,wCLQ(Fuk8)_NO
22,wCLQ(Lapl2)_NO
23,wCLQ(PIP19)_NO
24,wCLQ(PIP3)_NO
25,wCLQ(PIP5)_NO
26,wCLQ(SIEPA7)_NO
27,wCLQ(SIGA10)_NO
28,wCLQ(SIGA7)_NO
29,wCLQ(SIKA1)_NO
30,wCLQ(SIKA3)_NO
31,wCLQ(SIKA4)_NO
32,wCLQ(SIKA5)_NO
33,wCLQ(TopDist)_NO
34,wCLQ(Z1)_NO
35,wCLQ(Z2)_NO
36,wCTP(Del(K)NA10)_NO
37,wCTP(Del(K)NA8)_NO
38,wCTP(Del(K)NA9)_NO
39,wCTP(Del(Rho)NA1)_NO
40,wCTP(EP10)_NO
41,wCTP(HP)_NO
42,wCTP(PIP12)_NO
43,wCTP(PIP17)_NO
44,wDHBd(Ap)_NO
45,wDHBd(Del(G)NA1)_NO
46,wDHBd(Del(G)NA10)_NO
47,wDHBd(ECI)_NO
48,wDHBd(HP)_NO
49,wDHBd(PIP18)_NO
50,wDHBd(SIEPMax)_NO
51,wDHBd(Z2)_NO
52,wDHBd(Z3)_NO
53,wFLC(PIP15)_NO
54,wFLC(SIEPA9)_NO
55,wFLC(SIGA9)_NO
56,wLCO(Del(K)NA10)_NO
57,wLCO(Del(K)NA8)_NO
58,wLCO(ECI)_NO
59,wLCO(Fuk10)_NO
60,wLCO(PIP8)_NO
61,wLCO(SIEPIA)_NO
62,wLCO(SIK)_NO
63,wNLC(Del(G)NA9)_NO
64,wNLC(PIP12)_NO
65,wNc(Del(G)NA6)_NO
66,wNc(Del(G)NA9)_NO
67,wNc(EP7)_NO
68,wNc(PIP2)_NO
69,wNc(SIEPA9)_NO
70,wPhiH(Del(G)NA6)_NO
71,wPhiH(Del(K)NA1)_NO
72,wPhiH(Del(K)NA10)_NO
73,wPhiH(Del(K)NA4)_NO
74,wPhiH(EP5)_NO
75,wPhiH(Fuk8)_NO
76,wPhiH(Fuk9)_NO
77,wPhiH(PIP11)_NO
78,wPhiH(PIP16)_NO
79,wPhiH(PIP3)_NO
80,wPhiH(SIEPMax)_NO
81,wPhiH(SIGA9)_NO
82,wPhiH(SIKA4)_NO
83,wPhiI(Ap)_NO
84,wPhiI(DHf)_NO
85,wPhiI(Del(G)NA1)_NO
86,wPhiI(Del(G)NA10)_NO
87,wPhiI(EP7)_NO
88,wPhiI(HP)_NO
89,wPhiI(IP)_NO
90,wPhiI(Xi)_NO
91,wPhiI(Z3)_NO
92,wPhiS(Ap)_NO
93,wPhiS(Del(G)NA1)_NO
94,wPhiS(Del(G)NA10)_NO
95,wPhiS(Del(G)NA5)_NO
96,wPhiS(Del(G)NA9)_NO
97,wPhiS(HP)_NO
98,wPhiS(PIP15)_NO
99,wPhiS(SIEPMax)_NO
100,wPhiS(Xi)_NO
101,wPsiH(Ap)_NO
102,wPsiH(Del(K)NA1)_NO
103,wPsiH(Del(Rho)NA10)_NO
104,wPsiH(Lapl2)_NO
105,wPsiH(SIKA5)_NO
106,wPsiI(Del(G)NA9)_NO
107,wPsiI(Del(K)NA10)_NO
108,wPsiI(EP6)_NO
109,wPsiI(EP7)_NO
110,wPsiI(ISA)_NO
111,wPsiI(PIP18)_NO
112,wPsiI(PIP8)_NO
113,wPsiI(SIEPA7)_NO
114,wPsiS(DHf)_NO
115,wPsiS(Del(G)NA5)_NO
116,wPsiS(Del(G)NA9)_NO
117,wPsiS(Del(K)NA8)_NO
118,wPsiS(Del(Rho)NA2)_NO
119,wPsiS(EP1)_NO
120,wPsiS(EP5)_NO
121,wPsiS(EP7)_NO
122,wPsiS(EP8)_NO
123,wPsiS(Fuk7)_NO
124,wPsiS(ISA)_NO
125,wPsiS(Lapl5)_NO
126,wPsiS(SIEPA9)_NO
127,wPsiS(SIEPMax)_NO
128,wPsiS(SIGA7)_NO
129,wPsiS(SIKA3)_NO
130,wPsiS(SIKA5)_NO
131,wPsiS(Z1)_NO
132,wPsiS(Z2)_NO
133,wPsiS(Z3)_NO
134,wR2(Del(K)NA2)_NO
135,wSp(DHf)_NO
136,wSp(Del(G)NA10)_NO
137,wSp(Del(G)NA2)_NO
138,wSp(Del(G)NA5)_NO
139,wSp(Del(G)NA9)_NO
140,wSp(Del(K)NA10)_NO
141,wSp(Del(K)NA4)_NO
142,wSp(Del(K)NA8)_NO
143,wSp(Del(K)NA9)_NO
144,wSp(Del(Rho)NA5)_NO
145,wSp(EP4)_NO
146,wSp(EP8)_NO
147,wSp(Energy)_NO
148,wSp(Fuk10)_NO
149,wSp(Fuk5)_NO
150,wSp(Fuk6)_NO
151,wSp(Fuk8)_NO
152,wSp(Lapl5)_NO
153,wSp(PIP10)_NO
154,wSp(PIP11)_NO
155,wSp(PIP12)_NO
156,wSp(PIP13)_NO
157,wSp(PIP14)_NO
158,wSp(PIP18)_NO
159,wSp(PIP8)_NO
160,wSp(SIEPA7)_NO
161,wSp(SIEPMax)_NO
162,wSp(SIGA6)_NO
163,wSp(SIGA7)_NO
164,wSp(SIKA5)_NO
165,wSp(SIKA6)_NO
166,wSp(SIKA7)_NO
